item_id_a	item_id_b	mode	action	is_directional	a_is_acting	score
9606.ENSP00000000233	9606.ENSP00000250971	reaction		t	t	900
9606.ENSP00000000233	9606.ENSP00000250971	reaction		t	f	900
9606.ENSP00000000233	9606.ENSP00000019317	activation	activation	f	f	175
9606.ENSP00000000233	9606.ENSP00000216373	reaction		f	f	161
9606.ENSP00000000233	9606.ENSP00000012443	catalysis		t	f	155
9606.ENSP00000000233	9606.ENSP00000005340	binding		f	f	171
9606.ENSP00000000233	9606.ENSP00000006101	reaction		t	t	933
9606.ENSP00000000233	9606.ENSP00000006101	reaction		t	f	933
9606.ENSP00000000233	9606.ENSP00000006101	binding		f	t	933
9606.ENSP00000000233	9606.ENSP00000005340	binding		f	t	171
9606.ENSP00000000233	9606.ENSP00000006101	binding		f	f	933
9606.ENSP00000000233	9606.ENSP00000006101	reaction		f	f	933
9606.ENSP00000000233	9606.ENSP00000006101	catalysis		t	f	933
9606.ENSP00000000233	9606.ENSP00000006101	catalysis		t	t	933
9606.ENSP00000000233	9606.ENSP00000216373	catalysis		t	t	161
9606.ENSP00000000233	9606.ENSP00000211287	ptmod		f	f	150
9606.ENSP00000000233	9606.ENSP00000178640	catalysis		t	t	173
9606.ENSP00000000233	9606.ENSP00000020673	catalysis		t	t	150
9606.ENSP00000000233	9606.ENSP00000019317	inhibition	inhibition	f	t	175
9606.ENSP00000000233	9606.ENSP00000019317	catalysis		t	f	175
9606.ENSP00000000233	9606.ENSP00000019317	inhibition	inhibition	f	f	175
9606.ENSP00000000233	9606.ENSP00000020673	catalysis		t	f	150
9606.ENSP00000000233	9606.ENSP00000020673	binding		f	f	150
9606.ENSP00000000233	9606.ENSP00000020673	binding		f	t	150
9606.ENSP00000000233	9606.ENSP00000178640	catalysis		t	f	173
9606.ENSP00000000233	9606.ENSP00000020673	reaction		t	t	150
9606.ENSP00000000233	9606.ENSP00000020673	reaction		f	f	150
9606.ENSP00000000233	9606.ENSP00000020673	reaction		t	f	150
9606.ENSP00000000233	9606.ENSP00000178640	binding		f	t	173
9606.ENSP00000000233	9606.ENSP00000078429	activation	activation	f	f	152
9606.ENSP00000000233	9606.ENSP00000178640	binding		f	f	173
9606.ENSP00000000233	9606.ENSP00000211287	inhibition	inhibition	t	t	154
9606.ENSP00000000233	9606.ENSP00000202677	inhibition	inhibition	t	f	158
9606.ENSP00000000233	9606.ENSP00000178640	reaction		t	f	173
9606.ENSP00000000233	9606.ENSP00000178640	inhibition	inhibition	t	t	172
9606.ENSP00000000233	9606.ENSP00000178640	reaction		f	f	173
9606.ENSP00000000233	9606.ENSP00000202677	catalysis		t	f	158
9606.ENSP00000000233	9606.ENSP00000178640	reaction		t	t	173
9606.ENSP00000000233	9606.ENSP00000202677	activation	activation	f	f	153
9606.ENSP00000000233	9606.ENSP00000211287	inhibition	inhibition	f	t	150
9606.ENSP00000000233	9606.ENSP00000211287	binding		f	t	156
9606.ENSP00000000233	9606.ENSP00000211287	activation	activation	f	f	157
9606.ENSP00000000233	9606.ENSP00000211287	binding		f	f	156
9606.ENSP00000000233	9606.ENSP00000211287	inhibition	inhibition	f	f	150
9606.ENSP00000000233	9606.ENSP00000211287	catalysis		t	f	156
9606.ENSP00000000233	9606.ENSP00000211287	catalysis		t	t	156
9606.ENSP00000000233	9606.ENSP00000216373	catalysis		t	f	173
9606.ENSP00000000233	9606.ENSP00000215659	reaction		t	t	156
9606.ENSP00000000233	9606.ENSP00000215659	catalysis		t	f	156
9606.ENSP00000000233	9606.ENSP00000211287	reaction		t	t	156
9606.ENSP00000000233	9606.ENSP00000211287	reaction		f	f	156
9606.ENSP00000000233	9606.ENSP00000211287	reaction		t	f	156
